Diagnosis_Code,Description,CMS-HCC Model Category V28,Potential Co-existing Diagnoses
S72401B,"Unspecified fracture of lower end of right femur, initial encounter for open fracture type I or II",402,S0211CB (58%); S02111B (57%); S12112B (55%); S0211DB (53%); S02412B (52%)
S72401C,"Unspecified fracture of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (45%); S3215XB (45%); S3216XB (45%); S3217XB (45%); S02609B (43%)
S72402A,"Unspecified fracture of lower end of left femur, initial encounter for closed fracture",402,S02609A (56%); S3210XA (55%); S02602A (54%); S22009A (54%); S32009A (54%)
S72402B,"Unspecified fracture of lower end of left femur, initial encounter for open fracture type I or II",402,S0211DB (58%); S02111B (57%); S12112B (55%); S0211CB (53%); S02412B (52%)
S72402C,"Unspecified fracture of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (45%); S3215XB (45%); S3216XB (45%); S3217XB (45%); S02609B (43%)
S72409A,"Unspecified fracture of lower end of unspecified femur, initial encounter for closed fracture",402,S22009A (60%); S32009A (60%); S02609A (58%); S3210XA (57%); S22008A (56%)
S72409B,"Unspecified fracture of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (58%); S12112B (54%); S22009B (53%); S32009B (53%); S32129B (53%)
S72409C,"Unspecified fracture of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S22009B (47%); S32009B (46%); S02609B (45%); S3210XB (44%); S3214XB (44%)
S72411A,"Displaced unspecified condyle fracture of lower end of right femur, initial encounter for closed fracture",402,S02113A (59%); S0211AA (59%); S02110A (57%); S12000A (55%); S12200A (55%)
S72411B,"Displaced unspecified condyle fracture of lower end of right femur, initial encounter for open fracture type I or II",402,S0211CB (67%); S02111B (66%); S0211DB (63%); S0211CA (61%); S0211AB (60%)
S72411C,"Displaced unspecified condyle fracture of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211AB (54%); S02110B (52%); S0211CB (50%); S0211BB (49%); S02111B (49%)
S72412A,"Displaced unspecified condyle fracture of lower end of left femur, initial encounter for closed fracture",402,S02113A (60%); S0211BA (59%); S02110A (57%); S12000A (55%); S12200A (55%)
S72412B,"Displaced unspecified condyle fracture of lower end of left femur, initial encounter for open fracture type I or II",402,S0211DB (67%); S02111B (66%); S0211CB (63%); S0211DA (61%); S0211BB (60%)
S72412C,"Displaced unspecified condyle fracture of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211BB (54%); S02110B (52%); S0211DB (50%); S0211AB (49%); S02111B (49%)
S72413A,"Displaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for closed fracture",402,S02113A (62%); S02110A (59%); S12000A (58%); S12200A (58%); S02111A (55%)
S72413B,"Displaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (68%); S0211DB (62%); S0211CB (62%); S02111A (61%); S02110B (60%)
S72413C,"Displaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S02110B (54%); S02111B (51%); S02113B (51%); S0211BB (49%); S0211AB (49%)
S72414A,"Nondisplaced unspecified condyle fracture of lower end of right femur, initial encounter for closed fracture",402,S02113A (59%); S0211AA (59%); S02110A (57%); S12001A (55%); S12201A (55%)
S72414B,"Nondisplaced unspecified condyle fracture of lower end of right femur, initial encounter for open fracture type I or II",402,S0211CB (67%); S02111B (66%); S0211DB (63%); S0211CA (61%); S0211AB (60%)
S72414C,"Nondisplaced unspecified condyle fracture of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211AB (54%); S02110B (52%); S0211CB (50%); S0211BB (49%); S02111B (49%)
S72415A,"Nondisplaced unspecified condyle fracture of lower end of left femur, initial encounter for closed fracture",402,S02113A (59%); S0211BA (59%); S02110A (57%); S12001A (55%); S12201A (55%)
S72415B,"Nondisplaced unspecified condyle fracture of lower end of left femur, initial encounter for open fracture type I or II",402,S0211DB (67%); S02111B (66%); S0211CB (63%); S0211DA (61%); S0211BB (60%)
S72415C,"Nondisplaced unspecified condyle fracture of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211BB (54%); S02110B (52%); S0211DB (50%); S0211AB (49%); S02111B (49%)
S72416A,"Nondisplaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for closed fracture",402,S02113A (61%); S02110A (59%); S12001A (58%); S12201A (58%); S02111A (55%)
S72416B,"Nondisplaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (68%); S0211DB (62%); S0211CB (62%); S02111A (61%); S02110B (60%)
S72416C,"Nondisplaced unspecified condyle fracture of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S02110B (54%); S02111B (51%); S02113B (51%); S0211BB (49%); S0211AB (49%)
S72421A,"Displaced fracture of lateral condyle of right femur, initial encounter for closed fracture",402,S12040A (61%); S0211AA (60%); S02841A (60%); S02113A (58%); S0211CA (56%)
S72421B,"Displaced fracture of lateral condyle of right femur, initial encounter for open fracture type I or II",402,S0211CB (68%); S02111B (65%); S0211DB (64%); S0211CA (62%); S0211AB (61%)
S72421C,"Displaced fracture of lateral condyle of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211AB (54%); S0211CB (51%); S02110B (51%); S0211BB (50%); S12040B (49%)
S72422A,"Displaced fracture of lateral condyle of left femur, initial encounter for closed fracture",402,S12040A (61%); S0211BA (60%); S02842A (60%); S02113A (58%); S0211DA (56%)
S72422B,"Displaced fracture of lateral condyle of left femur, initial encounter for open fracture type I or II",402,S0211DB (68%); S02111B (65%); S0211CB (64%); S0211DA (62%); S0211BB (61%)
S72422C,"Displaced fracture of lateral condyle of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211BB (54%); S0211DB (51%); S02110B (51%); S0211AB (50%); S12040B (50%)
S72423A,"Displaced fracture of lateral condyle of unspecified femur, initial encounter for closed fracture",402,S12040A (62%); S02113A (61%); S02849A (59%); S02110A (59%); S12000A (57%)
S72423B,"Displaced fracture of lateral condyle of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (68%); S0211DB (65%); S0211CB (65%); S02111A (61%); S02110B (60%)
S72423C,"Displaced fracture of lateral condyle of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S02110B (54%); S0211BB (50%); S0211AB (50%); S02111B (50%); S12040B (50%)
S72424A,"Nondisplaced fracture of lateral condyle of right femur, initial encounter for closed fracture",402,S12041A (61%); S0211AA (60%); S02841A (60%); S02113A (58%); S0211CA (56%)
S72424B,"Nondisplaced fracture of lateral condyle of right femur, initial encounter for open fracture type I or II",402,S0211CB (68%); S02111B (65%); S0211DB (64%); S0211CA (62%); S0211AB (61%)
S72424C,"Nondisplaced fracture of lateral condyle of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211AB (54%); S0211CB (51%); S02110B (51%); S0211BB (50%); S12041B (50%)
S72425A,"Nondisplaced fracture of lateral condyle of left femur, initial encounter for closed fracture",402,S12041A (61%); S0211BA (60%); S02842A (60%); S02113A (58%); S0211DA (56%)
S72425B,"Nondisplaced fracture of lateral condyle of left femur, initial encounter for open fracture type I or II",402,S0211DB (68%); S02111B (65%); S0211CB (64%); S0211DA (62%); S0211BB (61%)
S72425C,"Nondisplaced fracture of lateral condyle of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211BB (54%); S0211DB (51%); S02110B (51%); S0211AB (50%); S12041B (50%)
S72426A,"Nondisplaced fracture of lateral condyle of unspecified femur, initial encounter for closed fracture",402,S12041A (62%); S02113A (61%); S02849A (59%); S02110A (59%); S12001A (57%)
S72426B,"Nondisplaced fracture of lateral condyle of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (68%); S0211DB (65%); S0211CB (64%); S02111A (61%); S02110B (60%)
S72426C,"Nondisplaced fracture of lateral condyle of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S02110B (54%); S0211BB (50%); S0211AB (50%); S02111B (50%); S12041B (50%)
S72431A,"Displaced fracture of medial condyle of right femur, initial encounter for closed fracture",402,S0211AA (60%); S02831A (60%); S02113A (58%); S0211CA (56%); S02839A (55%)
S72431B,"Displaced fracture of medial condyle of right femur, initial encounter for open fracture type I or II",402,S0211CB (69%); S02111B (65%); S0211DB (64%); S0211CA (62%); S0211AB (61%)
S72431C,"Displaced fracture of medial condyle of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211AB (54%); S0211CB (51%); S02110B (51%); S0211BB (50%); S0211EB (49%)
S72432A,"Displaced fracture of medial condyle of left femur, initial encounter for closed fracture",402,S0211BA (60%); S02832A (60%); S02113A (58%); S0211DA (56%); S02839A (56%)
S72432B,"Displaced fracture of medial condyle of left femur, initial encounter for open fracture type I or II",402,S0211DB (69%); S02111B (65%); S0211CB (64%); S0211DA (62%); S0211BB (61%)
S72432C,"Displaced fracture of medial condyle of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211BB (54%); S0211DB (51%); S02110B (51%); S0211AB (50%); S0211FB (49%)
S72433A,"Displaced fracture of medial condyle of unspecified femur, initial encounter for closed fracture",402,S02113A (61%); S02110A (59%); S02839A (59%); S12000A (57%); S12200A (57%)
S72433B,"Displaced fracture of medial condyle of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (68%); S0211DB (65%); S0211CB (65%); S02111A (61%); S02110B (60%)
S72433C,"Displaced fracture of medial condyle of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S02110B (54%); S0211BB (51%); S0211AB (51%); S02111B (50%); S02113B (50%)
S72434A,"Nondisplaced fracture of medial condyle of right femur, initial encounter for closed fracture",402,S0211AA (60%); S02831A (60%); S02113A (58%); S0211CA (56%); S02839A (55%)
S72434B,"Nondisplaced fracture of medial condyle of right femur, initial encounter for open fracture type I or II",402,S0211CB (69%); S02111B (65%); S0211DB (64%); S0211CA (62%); S0211AB (61%)
S72434C,"Nondisplaced fracture of medial condyle of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211AB (54%); S0211CB (51%); S02110B (51%); S0211BB (50%); S0211EB (49%)
S72435A,"Nondisplaced fracture of medial condyle of left femur, initial encounter for closed fracture",402,S0211BA (60%); S02832A (60%); S02113A (58%); S0211DA (56%); S02839A (55%)
S72435B,"Nondisplaced fracture of medial condyle of left femur, initial encounter for open fracture type I or II",402,S0211DB (68%); S02111B (65%); S0211CB (64%); S0211DA (62%); S0211BB (61%)
S72435C,"Nondisplaced fracture of medial condyle of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S0211BB (54%); S0211DB (51%); S02110B (51%); S0211AB (50%); S0211FB (49%)
S72436A,"Nondisplaced fracture of medial condyle of unspecified femur, initial encounter for closed fracture",402,S02113A (61%); S02110A (59%); S02839A (59%); S12001A (57%); S12201A (57%)
S72436B,"Nondisplaced fracture of medial condyle of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (68%); S0211DB (65%); S0211CB (65%); S02111A (61%); S02110B (60%)
S72436C,"Nondisplaced fracture of medial condyle of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S02110B (54%); S0211BB (51%); S0211AB (51%); S02111B (50%); S02113B (50%)
S72441A,"Displaced fracture of lower epiphysis (separation) of right femur, initial encounter for closed fracture",402,S12090A (51%); S12290A (51%); S12000A (50%); S12200A (50%); S12120A (47%)
S72441B,"Displaced fracture of lower epiphysis (separation) of right femur, initial encounter for open fracture type I or II",402,S12110B (51%); S12111B (51%); S0211CB (49%); S12090B (46%); S12290B (46%)
S72441C,"Displaced fracture of lower epiphysis (separation) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12090B (42%); S12290B (42%); S12000B (41%); S12200B (41%); S3214XB (39%)
S72442A,"Displaced fracture of lower epiphysis (separation) of left femur, initial encounter for closed fracture",402,S12090A (51%); S12290A (51%); S12000A (50%); S12200A (50%); S12120A (47%)
S72442B,"Displaced fracture of lower epiphysis (separation) of left femur, initial encounter for open fracture type I or II",402,S12110B (51%); S12111B (51%); S0211DB (49%); S12090B (46%); S12290B (46%)
S72442C,"Displaced fracture of lower epiphysis (separation) of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12090B (42%); S12290B (42%); S12000B (41%); S12200B (41%); S3214XB (39%)
S72443A,"Displaced fracture of lower epiphysis (separation) of unspecified femur, initial encounter for closed fracture",402,S12000A (53%); S12200A (53%); S12090A (51%); S12290A (51%); S12120A (47%)
S72443B,"Displaced fracture of lower epiphysis (separation) of unspecified femur, initial encounter for open fracture type I or II",402,S12110B (51%); S12111B (51%); S12000B (49%); S12200B (49%); S02111B (48%)
S72443C,"Displaced fracture of lower epiphysis (separation) of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12000B (44%); S12200B (44%); S12090B (42%); S12290B (42%); S3214XB (39%)
S72444A,"Nondisplaced fracture of lower epiphysis (separation) of right femur, initial encounter for closed fracture",402,S12091A (51%); S12291A (51%); S12001A (50%); S12201A (50%); S12121A (47%)
S72444B,"Nondisplaced fracture of lower epiphysis (separation) of right femur, initial encounter for open fracture type I or II",402,S12112B (56%); S12112A (49%); S0211CB (49%); S32120B (47%); S12091B (46%)
S72444C,"Nondisplaced fracture of lower epiphysis (separation) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12091B (42%); S12291B (42%); S12001B (41%); S12201B (41%); S12112B (40%)
S72445A,"Nondisplaced fracture of lower epiphysis (separation) of left femur, initial encounter for closed fracture",402,S12091A (51%); S12291A (51%); S12001A (50%); S12201A (50%); S12121A (47%)
S72445B,"Nondisplaced fracture of lower epiphysis (separation) of left femur, initial encounter for open fracture type I or II",402,S12112B (56%); S12112A (49%); S0211DB (49%); S32120B (47%); S12091B (46%)
S72445C,"Nondisplaced fracture of lower epiphysis (separation) of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12091B (42%); S12291B (42%); S12001B (41%); S12201B (41%); S12112B (40%)
S72446A,"Nondisplaced fracture of lower epiphysis (separation) of unspecified femur, initial encounter for closed fracture",402,S12001A (54%); S12201A (54%); S12091A (51%); S12291A (51%); S12121A (48%)
S72446B,"Nondisplaced fracture of lower epiphysis (separation) of unspecified femur, initial encounter for open fracture type I or II",402,S12112B (56%); S12112A (49%); S12001B (49%); S12201B (49%); S02111B (48%)
S72446C,"Nondisplaced fracture of lower epiphysis (separation) of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12001B (44%); S12201B (44%); S12091B (42%); S12291B (42%); S12112B (40%)
S72451A,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for closed fracture",402,S12090A (44%); S12290A (44%); S12000A (43%); S12200A (43%); S12120A (40%)
S72451B,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for open fracture type I or II",402,S12110B (45%); S12111B (45%); S0211CB (43%); S12090B (41%); S12290B (41%)
S72451C,"Displaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12090B (38%); S12290B (38%); S12000B (37%); S12200B (37%); S3214XB (35%)
S72452A,"Displaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for closed fracture",402,S12090A (44%); S12290A (44%); S12000A (43%); S12200A (43%); S12120A (40%)
S72452B,"Displaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for open fracture type I or II",402,S12110B (45%); S12111B (45%); S0211DB (43%); S12090B (41%); S12290B (41%)
S72452C,"Displaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12090B (38%); S12290B (38%); S12000B (37%); S12200B (37%); S3214XB (35%)
S72453A,"Displaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for closed fracture",402,S12000A (46%); S12200A (46%); S12090A (44%); S12290A (44%); S12120A (41%)
S72453B,"Displaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S12110B (45%); S12111B (45%); S12000B (43%); S12200B (43%); S02111B (42%)
S72453C,"Displaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12000B (39%); S12200B (39%); S12090B (38%); S12290B (38%); S3214XB (35%)
S72454A,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for closed fracture",402,S12091A (44%); S12291A (44%); S12001A (43%); S12201A (43%); S12121A (41%)
S72454B,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for open fracture type I or II",402,S12112B (49%); S12112A (43%); S0211CB (43%); S32120B (42%); S12091B (41%)
S72454C,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12091B (38%); S12291B (38%); S12001B (37%); S12201B (37%); S12112B (36%)
S72455A,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for closed fracture",402,S12091A (44%); S12291A (44%); S12001A (43%); S12201A (43%); S12121A (41%)
S72455B,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for open fracture type I or II",402,S12112B (49%); S12112A (43%); S0211DB (43%); S32120B (42%); S12091B (41%)
S72455C,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12091B (38%); S12291B (38%); S12001B (37%); S12201B (37%); S12112B (36%)
S72456A,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for closed fracture",402,S12001A (46%); S12201A (46%); S12091A (44%); S12291A (44%); S12121A (41%)
S72456B,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S12112B (49%); S12112A (43%); S12001B (43%); S12201B (43%); S02111B (42%)
S72456C,"Nondisplaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12001B (39%); S12201B (39%); S12091B (38%); S12291B (38%); S12112B (36%)
S72461A,"Displaced supracondylar fracture with intracondylar extension of lower end of right femur, initial encounter for closed fracture",402,S12090A (44%); S12290A (44%); S12000A (43%); S12200A (43%); S12120A (40%)
S72461B,"Displaced supracondylar fracture with intracondylar extension of lower end of right femur, initial encounter for open fracture type I or II",402,S12110B (45%); S12111B (45%); S0211CB (43%); S12090B (41%); S12290B (41%)
S72461C,"Displaced supracondylar fracture with intracondylar extension of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12090B (38%); S12290B (38%); S12000B (37%); S12200B (37%); S3214XB (35%)
S72462A,"Displaced supracondylar fracture with intracondylar extension of lower end of left femur, initial encounter for closed fracture",402,S12090A (44%); S12290A (44%); S12000A (43%); S12200A (43%); S12120A (40%)
S72462B,"Displaced supracondylar fracture with intracondylar extension of lower end of left femur, initial encounter for open fracture type I or II",402,S12110B (45%); S12111B (45%); S0211DB (43%); S12090B (41%); S12290B (41%)
S72462C,"Displaced supracondylar fracture with intracondylar extension of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12090B (38%); S12290B (38%); S12000B (37%); S12200B (37%); S3214XB (35%)
S72463A,"Displaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, initial encounter for closed fracture",402,S12000A (46%); S12200A (46%); S12090A (44%); S12290A (44%); S12120A (41%)
S72463B,"Displaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S12110B (45%); S12111B (45%); S12000B (43%); S12200B (43%); S02111B (42%)
S72463C,"Displaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12000B (39%); S12200B (39%); S12090B (38%); S12290B (38%); S3214XB (35%)
S72464A,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of right femur, initial encounter for closed fracture",402,S12091A (44%); S12291A (44%); S12001A (43%); S12201A (43%); S12121A (41%)
S72464B,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of right femur, initial encounter for open fracture type I or II",402,S12112B (49%); S12112A (43%); S0211CB (43%); S32120B (42%); S12091B (41%)
S72464C,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12091B (38%); S12291B (38%); S12001B (37%); S12201B (37%); S12112B (36%)
S72465A,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of left femur, initial encounter for closed fracture",402,S12091A (44%); S12291A (44%); S12001A (43%); S12201A (43%); S12121A (41%)
S72465B,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of left femur, initial encounter for open fracture type I or II",402,S12112B (49%); S12112A (43%); S0211DB (43%); S32120B (42%); S12091B (41%)
S72465C,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12091B (38%); S12291B (38%); S12001B (37%); S12201B (37%); S12112B (36%)
S72466A,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, initial encounter for closed fracture",402,S12001A (46%); S12201A (46%); S12091A (44%); S12291A (44%); S12121A (41%)
S72466B,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S12112B (49%); S12112A (43%); S12001B (43%); S12201B (43%); S02111B (42%)
S72466C,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S12001B (39%); S12201B (39%); S12091B (38%); S12291B (38%); S12112B (36%)
S72471A,"Torus fracture of lower end of right femur, initial encounter for closed fracture",402,S0211GA (42%); S0240CA (42%); S3219XA (42%); S02609A (41%); S0240AA (41%)
S72472A,"Torus fracture of lower end of left femur, initial encounter for closed fracture",402,S0211HA (42%); S0240DA (42%); S3219XA (42%); S02609A (41%); S0240BA (41%)
S72479A,"Torus fracture of lower end of unspecified femur, initial encounter for closed fracture",402,S02609A (45%); S3210XA (44%); S22009A (44%); S32009A (44%); S22008A (43%)
S72491A,"Other fracture of lower end of right femur, initial encounter for closed fracture",402,S0211GA (53%); S0240CA (53%); S3219XA (53%); S02609A (52%); S0240AA (52%)
S72491B,"Other fracture of lower end of right femur, initial encounter for open fracture type I or II",402,S0211CB (59%); S12112B (56%); S02111B (55%); S0211DB (54%); S02412B (53%)
S72491C,"Other fracture of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (45%); S3215XB (45%); S3216XB (45%); S3217XB (45%); S0211AB (43%)
S72492A,"Other fracture of lower end of left femur, initial encounter for closed fracture",402,S0211HA (53%); S0240DA (53%); S3219XA (53%); S02609A (52%); S0240BA (52%)
S72492B,"Other fracture of lower end of left femur, initial encounter for open fracture type I or II",402,S0211DB (59%); S12112B (56%); S02111B (55%); S0211CB (54%); S02412B (53%)
S72492C,"Other fracture of lower end of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (45%); S3215XB (45%); S3216XB (45%); S3217XB (45%); S0211BB (43%)
S72499A,"Other fracture of lower end of unspecified femur, initial encounter for closed fracture",402,S02609A (57%); S3210XA (57%); S22009A (56%); S32009A (55%); S22008A (55%)
S72499B,"Other fracture of lower end of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (58%); S12112B (57%); S0211DB (55%); S0211CB (55%); S02412B (53%)
S72499C,"Other fracture of lower end of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (46%); S3215XB (46%); S3216XB (46%); S3217XB (46%); S02609B (43%)
S728X1A,"Other fracture of right femur, initial encounter for closed fracture",402,S0211GA (66%); S0240CA (65%); S3219XA (65%); S02609A (65%); S0240AA (65%)
S728X1B,"Other fracture of right femur, initial encounter for open fracture type I or II",402,S0211CB (70%); S12112B (66%); S02111B (64%); S0211DB (64%); S02412B (62%)
S728X1C,"Other fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (51%); S3215XB (51%); S3216XB (51%); S3217XB (51%); S0211AB (48%)
S728X2A,"Other fracture of left femur, initial encounter for closed fracture",402,S0211HA (66%); S0240DA (65%); S3219XA (65%); S02609A (65%); S0240BA (65%)
S728X2B,"Other fracture of left femur, initial encounter for open fracture type I or II",402,S0211DB (70%); S12112B (66%); S02111B (64%); S0211CB (64%); S02412B (62%)
S728X2C,"Other fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (51%); S3215XB (51%); S3216XB (51%); S3217XB (51%); S0211BB (48%)
S728X9A,"Other fracture of unspecified femur, initial encounter for closed fracture",402,S02609A (72%); S3210XA (71%); S22009A (70%); S32009A (69%); S22008A (69%)
S728X9B,"Other fracture of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (69%); S12112B (67%); S0211DB (65%); S0211CB (65%); S02412B (63%)
S728X9C,"Other fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (52%); S3215XB (52%); S3216XB (52%); S3217XB (52%); S02609B (49%)
S7290XA,"Unspecified fracture of unspecified femur, initial encounter for closed fracture",402,S22009A (73%); S32009A (73%); S02609A (71%); S3210XA (70%); S22008A (68%)
S7290XB,"Unspecified fracture of unspecified femur, initial encounter for open fracture type I or II",402,S02111B (68%); S12112B (63%); S22009B (62%); S32009B (62%); S32129B (61%)
S7290XC,"Unspecified fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S22009B (52%); S32009B (52%); S02609B (51%); S3210XB (50%); S3214XB (49%)
S7291XA,"Unspecified fracture of right femur, initial encounter for closed fracture",402,S02609A (68%); S3210XA (67%); S02601A (66%); S22009A (66%); S32009A (66%)
S7291XB,"Unspecified fracture of right femur, initial encounter for open fracture type I or II",402,S0211CB (68%); S02111B (66%); S12112B (64%); S0211DB (62%); S02412B (61%)
S7291XC,"Unspecified fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (50%); S3215XB (50%); S3216XB (50%); S3217XB (50%); S02609B (48%)
S7292XA,"Unspecified fracture of left femur, initial encounter for closed fracture",402,S02609A (68%); S3210XA (67%); S02602A (66%); S22009A (66%); S32009A (66%)
S7292XB,"Unspecified fracture of left femur, initial encounter for open fracture type I or II",402,S0211DB (68%); S02111B (66%); S12112B (64%); S0211CB (62%); S02412B (61%)
S7292XC,"Unspecified fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",402,S3214XB (50%); S3215XB (50%); S3216XB (50%); S3217XB (50%); S02609B (48%)
S73001A,"Unspecified subluxation of right hip, initial encounter",402,M08951 (42%); M08051 (38%); M08851 (37%); S78911A (36%); M08959 (36%)
S73002A,"Unspecified subluxation of left hip, initial encounter",402,M08952 (42%); M08052 (38%); M08852 (37%); S78912A (36%); M08959 (36%)
S73003A,"Unspecified subluxation of unspecified hip, initial encounter",402,M08959 (45%); M08059 (41%); S78919A (39%); M08859 (39%); S78929A (39%)
S73004A,"Unspecified dislocation of right hip, initial encounter",402,M08951 (42%); M08051 (38%); M08851 (37%); S78911A (36%); M08959 (36%)
S73005A,"Unspecified dislocation of left hip, initial encounter",402,M08952 (42%); M08052 (38%); M08852 (37%); S78912A (36%); M08959 (36%)
S73006A,"Unspecified dislocation of unspecified hip, initial encounter",402,M08959 (45%); M08059 (41%); S78919A (39%); M08859 (39%); S78929A (39%)
S73011A,"Posterior subluxation of right hip, initial encounter",402,M08851 (33%); G8383 (33%); M08951 (32%); M06851 (31%); S78111A (30%)
